Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
oath,word,8.187,w,georgia,2,Georgia38.jpeg,experimental,A,,,,,0,53,53,37,,,,,,,,,,,,,,,,,,,,,,,w,1,0.8954432909958996,108.6639267920109,None,None,None,108.6639267920109,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
hawk,word,8.188,w,georgia,2,Georgia40.jpeg,experimental,A,,,,,0,54,54,39,,,,,,,,,,,,,,,,,,,,,,,w,1,0.8901134990010178,109.59755062501063,None,None,None,109.59755062501063,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
heas,non-word,None,n,georgia,2,Georgia73.jpeg,experimental,A,,,,,0,55,55,72,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9291409160068724,110.52760812500492,None,None,None,110.52760812500492,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
mist,word,8.091,w,comic sans,1,ComicSans10.jpeg,experimental,A,,,,,0,56,56,9,,,,,,,,,,,,,,,,,,,,,,,w,1,0.9498448320082389,111.49655579200771,None,111.49655579200771,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
yarl,non-word,None,n,georgia,2,Georgia79.jpeg,experimental,A,,,,,0,57,57,78,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9106974160094978,112.47745200000645,None,None,None,112.47745200000645,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
howl,word,8.079,w,comic sans,1,ComicSans6.jpeg,experimental,A,,,,,0,58,58,5,,,,,,,,,,,,,,,,,,,,,,,n,0,0.8483625829976518,113.42920295899967,None,113.42920295899967,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
soda,word,8.122,w,comic sans,1,ComicSans18.jpeg,experimental,A,,,,,0,59,59,17,,,,,,,,,,,,,,,,,,,,,,,w,1,0.9684286239935318,114.31143887501094,None,114.31143887501094,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
peam,non-word,None,n,georgia,2,Georgia64.jpeg,experimental,A,,,,,0,60,60,63,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9610671659902437,115.31342304201098,None,None,None,115.31342304201098,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
tave,non-word,None,n,georgia,2,Georgia65.jpeg,experimental,A,,,,,0,61,61,64,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8284480409929529,116.31057216699992,None,None,None,116.31057216699992,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
plaw,non-word,None,n,comic sans,1,ComicSans52.jpeg,experimental,A,,,,,0,62,62,51,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8541446659946814,117.1784531250014,None,117.1784531250014,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
