Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,response_practice.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
chep,non-word,None,n,comic sans,1,ComicSans44.jpeg,experimental,A,,,,,0,47,47,43,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9495234170171898,111.05167591600912,None,111.05167591600912,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
memo,word,8.108,w,comic sans,1,ComicSans12.jpeg,experimental,A,,,,,0,48,48,11,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7241978330130223,112.03456383300363,None,112.03456383300363,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
buwl,non-word,None,n,comic sans,1,ComicSans43.jpeg,experimental,A,,,,,0,49,49,42,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9471624160069041,112.80048791598529,None,112.80048791598529,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
atus,non-word,None,n,comic sans,1,ComicSans42.jpeg,experimental,A,,,,,0,50,50,41,,,,,,,,,,,,,,,,,,,,,,,n,1,0.915853208018234,113.78233820799505,None,113.78233820799505,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
heas,non-word,None,n,georgia,2,Georgia73.jpeg,experimental,A,,,,,0,51,51,72,,,,,,,,,,,,,,,,,,,,,,,n,1,0.74116083298577,114.7338598750066,None,None,None,114.7338598750066,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
gips,non-word,None,n,georgia,2,Georgia75.jpeg,experimental,A,,,,,0,52,52,74,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9412689990131184,115.51735874998849,None,None,None,115.51735874998849,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
vire,non-word,None,n,georgia,2,Georgia68.jpeg,experimental,A,,,,,0,53,53,67,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9209034160012379,116.49943712499226,None,None,None,116.49943712499226,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
hawk,word,8.188,w,georgia,2,Georgia40.jpeg,experimental,A,,,,,0,54,54,39,,,,,,,,,,,,,,,,,,,,,,,w,1,0.8046285409945995,117.45056958298665,None,None,None,117.45056958298665,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
soda,word,8.122,w,comic sans,1,ComicSans18.jpeg,experimental,A,,,,,0,55,55,17,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6843802489747759,118.29934866601252,None,118.29934866601252,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
juck,non-word,None,n,georgia,2,Georgia72.jpeg,experimental,A,,,,,0,56,56,71,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8377698330150452,119.01758695801254,None,None,None,119.01758695801254,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
