Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
bets,word,8.085,w,comic sans,1,ComicSans8.jpeg,experimental,A,,,,,0,54,54,7,,,,,,,,,,,,,,,,,,,,,,,w,1,0.9049442090035882,112.3505511250114,None,112.3505511250114,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
yell,word,8.108,w,comic sans,1,ComicSans13.jpeg,experimental,A,,,,,0,55,55,12,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7494455000123708,113.30112179100979,None,113.30112179100979,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
howl,word,8.079,w,comic sans,1,ComicSans6.jpeg,experimental,A,,,,,0,56,56,5,,,,,,,,,,,,,,,,,,,,,,,w,1,0.936340874992311,114.08377887500683,None,114.08377887500683,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
lerm,non-word,None,n,georgia,2,Georgia74.jpeg,experimental,A,,,,,0,57,57,73,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6804916669934755,115.04959558301198,None,None,None,115.04959558301198,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
fade,word,8.162,w,georgia,2,Georgia33.jpeg,experimental,A,,,,,0,58,58,32,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7342852909932844,115.7665180410113,None,None,None,115.7665180410113,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
atus,non-word,None,n,comic sans,1,ComicSans42.jpeg,experimental,A,,,,,0,59,59,41,,,,,,,,,,,,,,,,,,,,,,,n,1,1.4264450830087299,116.53666141600115,None,116.53666141600115,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
buwl,non-word,None,n,comic sans,1,ComicSans43.jpeg,experimental,A,,,,,0,60,60,42,,,,,,,,,,,,,,,,,,,,,,,n,1,1.0316828329960117,118.00228337501176,None,118.00228337501176,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
tent,word,8.067,w,comic sans,1,ComicSans3.jpeg,experimental,A,,,,,0,61,61,2,,,,,,,,,,,,,,,,,,,,,,,w,1,1.0548668340052245,119.0672603330022,None,119.0672603330022,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
stem,word,8.183,w,georgia,2,Georgia37.jpeg,experimental,A,,,,,0,62,62,36,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7169232500018552,120.1707116250036,None,None,None,120.1707116250036,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
abem,non-word,None,n,comic sans,1,ComicSans41.jpeg,experimental,A,,,,,0,63,63,40,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6306328749924432,120.918259958009,None,120.918259958009,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
